period,s_entry,s_exit,s_stop,n_trades,expectancy,ci_low,win_rate,pf,ann_return_pct,mdd_pct
OOS_2025,0.05,0.15,1.0,171,14.57,2.31,70.2,1.6,24.92,4.42
OOS_2025,0.05,0.2,0.05,171,15.86,5.22,70.2,1.69,27.11,4.01
OOS_2025,0.05,0.2,0.1,171,15.78,3.96,70.2,1.68,26.98,4.04
OOS_2025,0.05,0.2,0.2,171,15.63,4.71,70.2,1.67,26.72,4.08
OOS_2025,0.05,0.2,0.3,171,15.48,4.37,70.2,1.66,26.46,4.13
OOS_2025,0.05,0.2,0.5,171,15.17,2.34,70.2,1.64,25.94,4.22
OOS_2025,0.05,0.2,0.75,171,14.79,2.5,70.2,1.61,25.29,4.33
OOS_2025,0.05,0.2,1.0,171,14.41,2.42,70.2,1.59,24.64,4.45
OOS_2025,0.05,0.3,0.05,171,15.53,3.5,68.4,1.67,26.56,4.07
OOS_2025,0.05,0.3,0.1,171,15.46,4.59,68.4,1.66,26.43,4.09
OOS_2025,0.05,0.3,0.2,171,15.3,4.29,68.4,1.65,26.17,4.13
OOS_2025,0.05,0.3,0.3,171,15.15,3.0,68.4,1.64,25.91,4.18
OOS_2025,0.05,0.3,0.5,171,14.85,4.11,68.4,1.62,25.39,4.27
OOS_2025,0.05,0.3,0.75,171,14.47,2.21,68.4,1.6,24.74,4.39
OOS_2025,0.05,0.3,1.0,171,14.09,3.36,68.4,1.57,24.09,4.5
OOS_2025,0.1,0.05,0.05,171,15.95,4.5,70.2,1.7,27.28,3.98
OOS_2025,0.1,0.05,0.1,171,15.88,4.04,70.2,1.69,27.15,4.0
OOS_2025,0.1,0.05,0.2,171,15.73,4.07,70.2,1.68,26.89,4.05
OOS_2025,0.1,0.05,0.3,171,15.57,3.76,70.2,1.67,26.63,4.09
OOS_2025,0.1,0.05,0.5,171,15.27,3.83,70.2,1.65,26.11,4.18
OOS_2025,0.1,0.05,0.75,171,14.89,3.6,70.2,1.62,25.46,4.3
OOS_2025,0.1,0.05,1.0,171,14.51,3.42,70.2,1.6,24.81,4.41
OOS_2025,0.1,0.1,0.05,171,15.79,3.6,70.2,1.69,27.0,4.0
OOS_2025,0.1,0.1,0.1,171,15.72,5.23,70.2,1.68,26.87,4.03
OOS_2025,0.1,0.1,0.2,171,15.56,4.04,70.2,1.67,26.61,4.07
OOS_2025,0.1,0.1,0.3,171,15.41,4.18,70.2,1.66,26.35,4.12
OOS_2025,0.1,0.1,0.5,171,15.11,3.94,70.2,1.64,25.83,4.21
OOS_2025,0.1,0.1,0.75,171,14.73,3.06,70.2,1.61,25.18,4.32
OOS_2025,0.1,0.1,1.0,171,14.35,1.21,70.2,1.59,24.53,4.44
OOS_2025,0.1,0.15,0.05,171,15.63,4.4,70.2,1.68,26.73,4.03
OOS_2025,0.1,0.15,0.1,171,15.55,4.58,70.2,1.67,26.6,4.05
OOS_2025,0.1,0.15,0.2,171,15.4,3.35,70.2,1.66,26.34,4.1
OOS_2025,0.1,0.15,0.3,171,15.25,3.78,70.2,1.65,26.08,4.14
OOS_2025,0.1,0.15,0.5,171,14.95,3.3,70.2,1.63,25.56,4.23
OOS_2025,0.1,0.15,0.75,171,14.56,2.76,70.2,1.61,24.91,4.35
OOS_2025,0.1,0.15,1.0,171,14.18,2.81,70.2,1.58,24.26,4.46
OOS_2025,0.1,0.2,0.05,171,15.47,4.46,69.0,1.67,26.45,4.06
OOS_2025,0.1,0.2,0.1,171,15.39,3.88,69.0,1.66,26.32,4.08
OOS_2025,0.1,0.2,0.2,171,15.24,4.15,69.0,1.65,26.06,4.12
OOS_2025,0.1,0.2,0.3,171,15.09,4.08,69.0,1.64,25.8,4.17
OOS_2025,0.1,0.2,0.5,171,14.78,3.24,69.0,1.62,25.28,4.26
OOS_2025,0.1,0.2,0.75,171,14.4,2.92,69.0,1.6,24.63,4.37
OOS_2025,0.1,0.2,1.0,171,14.02,1.6,69.0,1.57,23.98,4.49
OOS_2025,0.1,0.3,0.05,171,15.14,4.3,67.8,1.65,25.89,4.11
OOS_2025,0.1,0.3,0.1,171,15.07,3.85,67.8,1.65,25.76,4.13
OOS_2025,0.1,0.3,0.2,171,14.91,2.97,67.8,1.63,25.5,4.18
OOS_2025,0.1,0.3,0.3,171,14.76,2.42,67.8,1.62,25.24,4.23
