symbol,token,date,vp,gp,pp,start_price,entry_price,exit_price,sl_price,tp_price,actual_growth,exit_reason,exit_ms,gross_ret,funding_ret,funding_events,net_ret,net_ret_usdt
ERAUSDT,ERA,2025-10-12,40,23,22,0.3651,0.3851,0.43516299999999997,0.43516299999999997,0.3671,0.05477951246233914,SL,1760283119999,-0.12999999999999992,7.385e-05,3,-0.13072614999999993,-130.72614999999993
ERAUSDT,ERA,2025-11-24,40,40,15,0.2658,0.2785,0.26707,0.314705,0.26707,0.047780285929270194,TP,1764038279999,0.04104129263913842,-0.0046790600000000005,6,0.03556223263913842,35.56223263913842
FUSDT,F,2025-12-19,40,40,33,0.005606,0.007084,0.006958,0.008004919999999999,0.0057538,0.26364609347128076,TIME_EXIT,1766239200000,0.01778656126482217,-0.051839630000000005,9,-0.034853068735177836,-34.853068735177835
FUSDT,F,2026-02-08,40,40,38,0.005663,0.006436,0.005977,0.007272679999999999,0.005740299999999999,0.13650008829242455,TIME_EXIT,1770645600000,0.0713175885643257,-0.060983380000000004,9,0.0095342085643257,9.5342085643257
FUSDT,F,2026-03-13,40,40,15,0.005333,0.005889,0.005546,0.006654569999999999,0.0053886,0.10425651603225194,TIME_EXIT,1773496800000,0.05824418407199871,-0.00495928,9,0.05248490407199871,52.48490407199871
FUSDT,F,2026-03-17,40,40,8,0.005696,0.006219,0.0057483,0.007027469999999999,0.0057483,0.09181882022471921,TP,1773792419999,0.07568740955137485,-0.00919852,6,0.06568888955137485,65.68888955137484
FILUSDT,FIL,2025-11-07,33,40,13,1.892,2.126,2.4023799999999995,2.4023799999999995,1.9154,0.12367864693446085,SL,1762528679999,-0.12999999999999984,-0.00220562,1,-0.13300561999999982,-133.00561999999982
FLOCKUSDT,FLOCK,2026-02-22,40,40,7,0.05686,0.05888,0.0665344,0.0665344,0.057062,0.035525852972212446,SL,1771755899999,-0.12999999999999987,-0.0009682,2,-0.13176819999999986,-131.76819999999987
FLOCKUSDT,FLOCK,2026-03-17,40,40,11,0.05873,0.06351,0.059208,0.07176629999999999,0.059208,0.08138940916056536,TP,1773742139999,0.06773736419461503,-0.00127418,2,0.06566318419461503,65.66318419461503
FLOCKUSDT,FLOCK,2026-04-06,40,40,6,0.05083,0.0532,0.051067,0.06011599999999999,0.051067,0.046626008262836915,TP,1775526779999,0.04009398496240594,-4.637e-05,6,0.03924761496240594,39.24761496240594
FLUIDUSDT,FLUID,2025-10-27,40,40,4,4.727,4.932,4.7475000000000005,5.57316,4.7475000000000005,0.04336788660884272,TP,1761559499999,0.037408759124087566,-4.6280000000000004e-05,2,0.03656247912408756,36.56247912408756
FLUIDUSDT,FLUID,2025-11-10,40,40,29,3.95,4.092,4.088,4.623959999999999,3.9642,0.03594936708860752,TIME_EXIT,1762869600000,0.000977517106549257,-0.00060614,9,-0.000428622893450743,-0.428622893450743
FLUIDUSDT,FLUID,2025-11-22,40,40,158,2.915,4.12,3.289,4.6556,3.0355,0.41337907375643224,TIME_EXIT,1763906400000,0.20169902912621357,-0.015499660000000002,9,0.18539936912621358,185.39936912621357
FLUIDUSDT,FLUID,2026-01-03,40,40,15,2.84,3.206,3.037,3.6227799999999997,2.8766,0.12887323943661966,TIME_EXIT,1767535200000,0.052713661883967575,-0.0033609300000000003,9,0.048552731883967574,48.552731883967574
FLUIDUSDT,FLUID,2026-01-25,40,40,72,2.614,3.798,2.7324,4.29174,2.7324,0.452945677123183,TP,1769390459999,0.2805687203791469,-0.020540489999999998,6,0.25922823037914683,259.22823037914685
FLUIDUSDT,FLUID,2026-01-31,40,40,11,2.826,2.914,2.8348,3.29282,2.8348,0.03113941967445144,TP,1769847479999,0.0271791352093343,1.325e-05,2,0.0263923852093343,26.3923852093343
GUSDT,G,2026-01-25,40,40,32,0.004564,0.006086,0.0047162,0.006877179999999999,0.0047162,0.3334794040315512,TP,1769386019999,0.22507394019060137,-0.03640478,6,0.18786916019060138,187.86916019060138
GUSDT,G,2026-02-04,40,40,32,0.003722,0.004548,0.0038046,0.00513924,0.0038046,0.22192369693713054,TP,1770289019999,0.16345646437994724,-0.05517485,8,0.10748161437994724,107.48161437994725
GUSDT,G,2026-03-16,40,40,24,0.003448,0.004623,0.0052239899999999995,0.0052239899999999995,0.0035655,0.3407772621809746,SL,1773651899999,-0.1299999999999998,-0.022030389999999997,2,-0.15283038999999982,-152.83038999999982
GUSDT,G,2026-03-31,40,40,17,0.003463,0.004198,0.003837,0.00474374,0.0035364999999999997,0.21224371931851005,TIME_EXIT,1775052000000,0.08599333015721776,-0.04108209,9,0.04411124015721776,44.111240157217765
GASUSDT,GAS,2025-07-20,40,40,7,3.336,3.563,3.555,4.02619,3.3587,0.0680455635491608,TIME_EXIT,1753106400000,0.0022452989054167856,-0.00042984999999999996,9,0.0010154489054167858,1.0154489054167857
GASUSDT,GAS,2025-08-05,40,40,10,3.064,3.311,3.216,3.7414299999999994,3.0887000000000002,0.08061357702349858,TIME_EXIT,1754488800000,0.0286922379945635,-0.02905114,9,-0.0011589020054364983,-1.1589020054364982
GASUSDT,GAS,2025-08-16,40,40,4,3.293,3.411,3.385,3.85443,3.3048,0.03583358639538403,TIME_EXIT,1755439200000,0.007622398123717457,-0.00303909,9,0.003783308123717457,3.7833081237174566
GASUSDT,GAS,2026-01-27,40,40,16,1.88,2.073,1.8993,2.3424899999999997,1.8993,0.10265957446808516,TP,1769518979999,0.0837916063675832,-0.01613825,3,0.06685335636758322,66.85335636758322
GLMUSDT,GLM,2025-07-27,40,40,8,0.27273,0.28258,0.31931539999999997,0.31931539999999997,0.273715,0.03611630550361178,SL,1753599719999,-0.12999999999999992,5e-05,1,-0.13074999999999992,-130.74999999999991
GLMUSDT,GLM,2025-08-10,40,40,12,0.26125,0.26942,0.262067,0.30444459999999995,0.262067,0.03127272727272734,TP,1754811899999,0.0272919605077574,-0.00014578,1,0.0263461805077574,26.3461805077574
GMTUSDT,GMT,2025-12-28,39,33,3,0.01459,0.01532,0.0173116,0.0173116,0.014663,0.05003427004797811,SL,1766948699999,-0.12999999999999998,-0.00023627,2,-0.13103626999999998,-131.03626999999997
HIVEUSDT,HIVE,2025-12-28,40,40,17,0.09494,0.11149,0.096595,0.1259837,0.096595,0.17432062355171696,TP,1766956979999,0.13359942595748503,-0.01835995,5,0.11443947595748503,114.43947595748503
HIVEUSDT,HIVE,2026-05-23,40,40,11,0.05908,0.06095,0.059267,0.06887349999999999,0.059267,0.031651997291807676,TP,1779521579999,0.02761279737489741,-0.00434329,1,0.02246950737489741,22.46950737489741
HIVEUSDT,HIVE,2026-05-25,40,23,10,0.05989,0.0645,0.06184,0.07288499999999999,0.060351,0.07697445316413432,TIME_EXIT,1779804000000,0.04124031007751942,-0.02027594,9,0.020164370077519415,20.164370077519415
HOLOUSDT,HOLO,2025-11-22,40,40,27,0.0904,0.1007,0.09143,0.11379099999999999,0.09143,0.11393805309734528,TP,1763789639999,0.09205561072492553,-0.00127792,1,0.08997769072492554,89.97769072492554
HOLOUSDT,HOLO,2026-01-02,40,40,19,0.06689,0.07393,0.08354089999999999,0.08354089999999999,0.067594,0.10524742113918362,SL,1767340379999,-0.1299999999999999,-0.00153201,1,-0.1323320099999999,-132.33200999999988
HOLOUSDT,HOLO,2026-02-25,40,40,17,0.05383,0.0656,0.05821,0.074128,0.055007,0.218651309678618,TIME_EXIT,1772114400000,0.11265243902439036,-0.03249855,9,0.07935388902439036,79.35388902439036
HOLOUSDT,HOLO,2026-03-05,40,40,7,0.06009,0.0633,0.06303,0.07152899999999998,0.060411,0.05341987019470795,TIME_EXIT,1772805600000,0.004265402843601777,-0.00927702,9,-0.005811617156398224,-5.811617156398224
HYPERUSDT,HYPER,2026-01-11,40,40,26,0.1237,0.1586,0.1383,0.17921799999999996,0.12719,0.28213419563459974,TIME_EXIT,1768226400000,0.12799495586380824,-0.03816726,9,0.08902769586380824,89.02769586380823
ICXUSDT,ICX,2026-02-09,40,40,29,0.0398,0.0433,0.040150000000000005,0.04892899999999999,0.040150000000000005,0.0879396984924623,TP,1770667979999,0.07274826789838322,-0.014637299999999999,2,0.057310967898383226,57.310967898383225
ICXUSDT,ICX,2026-03-11,40,40,16,0.0349,0.0424,0.0368,0.047911999999999996,0.03565,0.21489971346704873,TIME_EXIT,1773324000000,0.13207547169811323,-0.03384257,30,0.09743290169811324,97.43290169811324
IDUSDT,ID,2026-02-27,40,40,13,0.04467,0.04621,0.044824,0.052217299999999994,0.044824,0.03447503917618078,TP,1772192639999,0.029993507898723185,-0.00149764,1,0.027695867898723185,27.695867898723186
IDUSDT,ID,2026-05-29,40,25,8,0.02655,0.02879,0.0325327,0.0325327,0.026774,0.08436911487758936,SL,1780041239999,-0.12999999999999995,0.0,0,-0.13079999999999994,-130.79999999999995
