V,G,sl,tp,n_trades,expectancy_usdt,expectancy_pct,ci_low,ci_high,win_rate,avg_win,avg_loss,profit_factor,peak_concurrent,total_net,max_dd_pct,cagr_pct,calmar,sharpe,sortino,n_tp,n_sl,n_time,eligible
3,5,12,75,277,1.8705957960486912,0.18705957960486913,-4.819643431116213,8.66586479356519,65.70397111913357,35.32506878171154,-62.22113139753698,1.08765934352413,10,518.1550355054875,7.2960878537758385,12.988106454452165,1.7801466641784773,0.9943461840740547,1.417445511388001,139,36,102,True
3,5,12,90,277,2.646718620360361,0.26467186203603615,-4.3347904959237935,9.082891057644545,64.25992779783394,38.12755671029936,-61.14711148074209,1.121108995198204,11,733.1410578398201,6.839278992104898,16.87842411935261,2.4678660044189837,1.3693294390378161,2.0365070326417336,105,37,135,True
3,5,12,95,277,2.8363720037115483,0.2836372003711548,-3.5057737795709825,9.331891137843499,63.898916967509024,38.684284112952426,-60.61443242964482,1.129618477569683,11,785.6750450280989,6.702048726583981,18.147398658419167,2.707738991278396,1.463516052287864,2.1834734286428157,94,37,146,True
5,2,8,45,1229,1.088662451190927,0.10886624511909271,-0.2917824632790509,2.397691575299188,80.4719283970708,10.49126526672604,-37.657896651160016,1.148039573756575,28,1337.9661525136494,2.60399377450655,11.944248772645238,4.586896055428797,2.362745943830472,3.5599668342862207,974,68,187,True
5,2,8,75,1229,1.3602040105769402,0.13602040105769403,-0.2950485098435224,3.051917531663667,69.4060211554109,16.81198799589829,-33.69397614761218,1.1319519537232046,29,1671.6907289990595,2.6228012074292772,14.50762814700397,5.531348737338555,2.277142172614414,3.662918405682135,741,91,397,True
5,2,8,90,1229,1.578381883241216,0.1578381883241216,-0.2558554765074004,3.1524475004286057,65.90724165988608,19.133212572855243,-32.358164318637925,1.1430757632140316,30,1939.8313345034544,2.770869821551292,16.352525117391046,5.901585484169719,2.473145388490137,3.970154525689543,642,96,491,True
5,2,8,95,1229,1.467634571812366,0.1467634571812366,-0.3033306518827098,3.128870204363753,64.84947111472742,19.773411910419245,-32.30482963853412,1.1292464474022732,30,1803.7228887573979,2.9574442181366507,15.157625128861207,5.125244640594212,2.2335427389434486,3.3828174444992993,607,99,523,True
5,2,9,45,1229,1.01968590768925,0.10196859076892499,-0.47499028098230345,2.423733609144965,80.71602929210741,10.481005825156291,-38.58212572997871,1.1370515028530088,28,1253.193980550088,3.3183709104502723,11.163967422845356,3.364291612998292,2.131249999329807,3.049395946680535,976,60,193,True
5,2,9,75,1229,1.2403522215588352,0.12403522215588351,-0.39783086714159804,2.9450629821496457,69.65012205044752,16.79553128894654,-34.45732413684296,1.1186059650734426,29,1524.3928802958085,2.7734333400174624,13.182891416023889,4.753275020462863,1.988585520464446,3.075279661836239,743,80,406,True
5,2,9,90,1229,1.4239542573939834,0.14239542573939834,-0.43151358731715467,3.1217038008708666,66.15134255492269,19.116577494940643,-33.153215675599846,1.1268904483055984,30,1750.0397823372057,2.8393449850054364,14.688327188875473,5.173139321373218,2.1323258567494547,3.17302362139707,644,85,500,True
