symbol,date,vp,gp,pp,entry_price,exit_price,exit_reason,funding_ret,funding_events,net_ret_usdt
TAIKOUSDT,2025-08-04,50,50,8,0.4445,0.4283,TP,-4.2643190101237355e-05,6,35.60280112935881
TAIKOUSDT,2025-08-08,50,50,3,0.4778,0.4916,TIME_EXIT,-0.0004715329028882376,9,-30.15391046672243
TAIKOUSDT,2025-08-17,50,50,5,0.4635,0.44847,TP,0.0002494066882416397,5,31.87659115426115
TAIKOUSDT,2025-08-27,41,50,4,0.4186,0.4206,TIME_EXIT,0.0003988891543239369,8,-5.178941710463321
TAIKOUSDT,2026-01-09,50,50,21,0.1904,0.18104,TP,0.0002446953781512605,5,48.604359243697516
TAIKOUSDT,2026-01-26,50,50,53,0.2551,0.18373,TP,-0.008727121019208153,5,270.2455171618973
TAIKOUSDT,2026-02-18,50,50,6,0.1311,0.12651,TP,-0.0016518063844393595,7,32.559635263157766
THETAUSDT,2026-04-04,50,50,10,0.1538,0.17379399999999998,SL,0.0,0,-130.7999999999999
TOSHIUSDT,2025-10-02,34,50,9,0.0007883,0.0008024,TIME_EXIT,0.00033347056704300396,9,-18.353120832170443
TOSHIUSDT,2025-12-07,50,50,8,0.00042,0.00040623000000000005,TP,-0.001254120838095238,1,30.731593447618977
TOSHIUSDT,2026-02-12,35,50,10,0.0002059,0.00023266699999999996,SL,-0.0024024085964060226,1,-133.2024085964059
TREEUSDT,2026-03-30,50,50,5,0.05915,0.057512,TP,0.00019656939983093828,4,27.08887709213864
VANAUSDT,2025-09-07,30,50,3,4.234,4.175,TIME_EXIT,-0.0002709678483703353,9,12.863845566839908
VANAUSDT,2025-10-27,50,50,14,3.292,2.7916000000000003,TP,-0.012088150853584447,5,139.11670941373012
VANAUSDT,2026-01-14,50,50,7,2.485,2.4103000000000003,TP,-0.0010054761609657947,6,28.25488601207225
VANAUSDT,2026-03-29,50,50,24,1.327,1.1983,TP,-0.008129432720422006,5,88.05624926902792
VTHOUSDT,2025-12-21,50,50,46,0.001059,0.0008975,TIME_EXIT,-0.03400533047308782,9,117.69703024457043
VTHOUSDT,2026-02-12,50,50,54,0.0006541,0.0006018,TIME_EXIT,-0.0072244465815624525,8,71.93274650817922
VTHOUSDT,2026-02-22,50,50,32,0.0006668,0.0005974099999999999,TP,-0.016245141988602278,6,87.01904517396538
VTHOUSDT,2026-05-30,50,50,14,0.000567,0.00064071,SL,-0.003885500148148148,1,-134.68550014814804
